latitude,longitude,current_rain_mm_hr,rain_48h_mm,soil_moisture_pct,forecast_severity,forecast_label,trigger_score,alert_level,alert_status
21.60336,88.6368,10.08,216.82,29.01,0,Clear,0.2354,0,Safe
21.73952,93.61532,0.94,88.19,27.3,1,Light Rain,0.0786,0,Safe
27.8533,89.38056,41.31,198.72,50.99,1,Light Rain,0.3712,1,Watch
25.84235,96.4614,0.28,32.31,90.29,3,Extreme Storm,0.3153,1,Watch
22.05729,95.80495,25.32,466.12,33.31,1,Light Rain,0.4357,1,Watch
23.01027,90.67714,0.97,166.91,38.97,2,Heavy Rain,0.2877,1,Watch
25.16339,88.33494,2.51,18.62,36.71,0,Clear,0.0849,0,Safe
24.16849,95.51544,2.01,3.54,35.02,2,Heavy Rain,0.201,0,Safe
25.65284,92.27947,6.51,125.49,97.59,0,Clear,0.3339,1,Watch
26.10267,92.31016,15.2,600.0,53.22,1,Light Rain,0.6077,2,Warning
22.79842,93.41221,1.07,398.13,26.09,3,Extreme Storm,0.4551,1,Watch
21.81199,92.23751,24.28,13.95,17.2,2,Heavy Rain,0.1695,0,Safe
23.19845,89.29862,1.01,107.58,20.48,3,Extreme Storm,0.2332,0,Safe
26.49253,91.52287,9.59,67.16,62.61,1,Light Rain,0.2563,1,Watch
27.82904,91.81849,0.26,134.21,33.75,2,Heavy Rain,0.3007,1,Watch
23.56706,91.7042,21.75,90.4,66.33,1,Light Rain,0.3294,1,Watch
26.29152,91.2448,2.7,67.27,12.92,1,Light Rain,0.0873,0,Safe
21.86681,93.28687,10.93,48.41,41.96,1,Light Rain,0.1443,0,Safe
21.78979,92.33095,72.35,72.63,32.91,0,Clear,0.2195,0,Safe
24.861,91.24601,150.0,264.02,68.83,0,Clear,0.6152,2,Warning
28.94955,89.7989,2.45,25.29,42.58,0,Clear,0.0832,0,Safe
28.27643,90.89946,3.03,132.62,83.5,1,Light Rain,0.3094,1,Watch
27.83548,94.99279,30.96,86.11,96.89,1,Light Rain,0.3309,1,Watch
24.72682,93.64626,36.13,581.12,53.85,2,Heavy Rain,0.6862,2,Warning
29.14778,93.73377,12.91,107.07,79.36,0,Clear,0.3178,1,Watch
26.70961,93.17232,1.28,4.93,68.37,1,Light Rain,0.2448,0,Safe
23.94242,96.03817,1.66,18.49,39.6,1,Light Rain,0.1284,0,Safe
26.09855,92.81135,0.97,157.98,51.36,1,Light Rain,0.1983,0,Safe
28.07825,91.54254,1.24,61.96,58.42,2,Heavy Rain,0.2227,0,Safe
21.96443,91.20094,0.34,41.71,37.77,1,Light Rain,0.1022,0,Safe
22.58711,93.00739,1.61,165.44,28.39,0,Clear,0.1296,0,Safe
22.73651,93.29491,21.29,15.04,11.11,2,Heavy Rain,0.1854,0,Safe
25.95591,88.22002,1.81,69.93,17.67,2,Heavy Rain,0.1506,0,Safe
24.97471,91.02497,2.57,30.46,35.58,3,Extreme Storm,0.2251,0,Safe
25.57028,91.44492,20.99,518.07,87.09,2,Heavy Rain,0.7089,2,Warning
29.08737,92.87121,20.91,402.88,19.37,2,Heavy Rain,0.3777,1,Watch
24.24208,92.34391,42.72,492.86,42.8,2,Heavy Rain,0.598,2,Warning
24.4196,93.68654,10.87,13.69,50.65,0,Clear,0.0958,0,Safe
25.90559,93.28921,13.19,453.12,75.56,2,Heavy Rain,0.5897,2,Warning
27.64957,92.75881,9.41,16.25,33.43,1,Light Rain,0.1861,0,Safe
26.03787,90.99875,75.25,278.41,15.72,2,Heavy Rain,0.3714,1,Watch
25.51358,95.10744,1.58,47.19,16.13,1,Light Rain,0.1409,0,Safe
26.51523,93.15438,12.89,96.05,95.99,1,Light Rain,0.3678,1,Watch
26.61479,93.09575,6.91,29.76,68.99,1,Light Rain,0.219,0,Safe
26.95027,90.85927,0.89,4.09,18.98,2,Heavy Rain,0.0703,0,Safe
24.166,95.9814,4.74,43.61,14.39,0,Clear,0.0826,0,Safe
27.62792,92.70902,0.34,66.2,18.01,2,Heavy Rain,0.1761,0,Safe
29.24597,91.92606,40.32,237.44,66.21,0,Clear,0.3783,1,Watch
26.89907,90.44003,50.96,222.39,29.11,0,Clear,0.2667,1,Watch
26.95601,91.23251,85.29,339.28,64.45,0,Clear,0.5599,2,Warning
27.05987,92.07573,73.47,4.48,26.56,1,Light Rain,0.2725,1,Watch
25.92864,94.09498,6.91,5.52,16.77,1,Light Rain,0.1286,0,Safe
28.73089,97.43537,13.1,97.89,24.63,0,Clear,0.2122,0,Safe
24.54878,90.39459,14.14,93.29,25.7,0,Clear,0.1239,0,Safe
28.88099,92.01502,1.48,300.87,78.22,3,Extreme Storm,0.442,1,Watch
25.3505,94.92244,24.04,78.68,57.6,1,Light Rain,0.2863,1,Watch
28.70633,96.37301,27.3,489.12,43.72,2,Heavy Rain,0.5314,2,Warning
22.84315,88.17756,7.9,366.49,13.12,0,Clear,0.3298,1,Watch
26.4546,90.72752,15.39,567.93,27.02,2,Heavy Rain,0.497,1,Watch
27.84364,93.12681,39.22,19.15,40.84,2,Heavy Rain,0.2084,0,Safe
24.70698,91.11359,0.9,146.16,44.25,2,Heavy Rain,0.279,1,Watch
27.49061,88.23258,8.37,6.67,18.96,1,Light Rain,0.1061,0,Safe
26.70764,96.00511,37.07,6.48,47.91,3,Extreme Storm,0.3129,1,Watch
29.4432,96.52183,1.08,25.42,28.98,1,Light Rain,0.1206,0,Safe
22.73001,97.29978,0.81,54.07,25.47,2,Heavy Rain,0.0911,0,Safe
28.58911,97.41678,1.15,34.12,52.02,2,Heavy Rain,0.3594,1,Watch
24.83373,93.05008,13.36,28.86,88.56,3,Extreme Storm,0.3642,1,Watch
21.64809,92.63896,8.3,106.48,71.33,0,Clear,0.3787,1,Watch
28.7626,88.02968,0.3,191.54,47.39,0,Clear,0.2417,0,Safe
25.74055,92.19536,21.79,15.73,38.63,1,Light Rain,0.1346,0,Safe
27.14986,89.55507,6.36,54.0,65.13,3,Extreme Storm,0.2967,1,Watch
28.84717,94.94485,3.11,231.53,49.98,0,Clear,0.3285,1,Watch
24.40658,92.34949,38.81,288.44,70.37,1,Light Rain,0.491,1,Watch
27.45296,93.47488,1.87,137.16,61.82,1,Light Rain,0.2947,1,Watch
27.26114,91.37861,80.93,4.94,40.99,1,Light Rain,0.2715,1,Watch
26.36897,91.10045,10.99,505.91,71.65,0,Clear,0.5399,2,Warning
25.70074,92.00255,2.98,66.57,74.28,2,Heavy Rain,0.2957,1,Watch
27.66482,91.02576,3.9,59.4,34.06,0,Clear,0.1791,0,Safe
22.08246,88.95038,7.07,397.83,48.87,1,Light Rain,0.4691,1,Watch
23.7845,97.36624,0.89,15.69,50.48,0,Clear,0.1004,0,Safe
28.42239,94.94891,26.93,80.06,22.86,2,Heavy Rain,0.163,0,Safe
25.50299,96.47334,29.4,346.66,57.2,2,Heavy Rain,0.4407,1,Watch
28.22411,91.38029,1.48,22.22,76.1,2,Heavy Rain,0.2599,1,Watch
23.25331,90.96427,1.67,4.77,67.58,2,Heavy Rain,0.2504,1,Watch
27.98054,91.01632,3.14,36.02,62.13,3,Extreme Storm,0.2824,1,Watch
23.43005,89.44101,13.39,73.98,68.05,1,Light Rain,0.3003,1,Watch
28.25145,95.24561,32.89,99.51,63.85,3,Extreme Storm,0.3802,1,Watch
21.73413,94.66984,0.26,217.25,56.59,0,Clear,0.3506,1,Watch
24.97607,90.88748,1.84,17.13,16.21,1,Light Rain,0.1087,0,Safe
28.61393,93.2513,117.35,4.59,85.2,0,Clear,0.4124,1,Watch
25.07003,91.47282,1.29,238.55,25.6,1,Light Rain,0.1981,0,Safe
22.74848,95.41728,8.18,87.09,96.52,1,Light Rain,0.3603,1,Watch
25.81867,92.79819,52.12,332.51,23.26,3,Extreme Storm,0.4866,1,Watch
22.06193,90.88924,1.08,68.65,17.48,1,Light Rain,0.0961,0,Safe
26.31264,91.33689,1.42,324.02,46.23,2,Heavy Rain,0.3544,1,Watch
26.6351,94.5243,67.31,10.97,25.26,2,Heavy Rain,0.2931,1,Watch
22.83039,91.24449,6.19,13.74,14.49,1,Light Rain,0.0503,0,Safe
22.22854,95.20693,116.2,101.88,29.12,0,Clear,0.341,1,Watch
26.11653,95.722,77.15,26.43,63.7,1,Light Rain,0.34,1,Watch
22.39482,91.70041,8.49,47.35,63.58,1,Light Rain,0.2559,1,Watch
25.47326,95.62649,0.88,236.56,36.35,2,Heavy Rain,0.2783,1,Watch
24.56234,95.79704,0.99,95.55,25.18,0,Clear,0.1235,0,Safe
26.55819,88.74511,24.95,53.0,86.64,0,Clear,0.2548,1,Watch
29.31515,89.2528,116.15,186.29,10.28,2,Heavy Rain,0.4131,1,Watch
24.82734,95.61995,6.21,7.55,17.32,3,Extreme Storm,0.1788,0,Safe
22.77282,91.56018,25.69,182.44,90.84,0,Clear,0.4274,1,Watch
26.15882,94.08753,16.03,251.53,74.79,2,Heavy Rain,0.5078,2,Warning
26.5112,94.24734,8.8,231.83,97.3,1,Light Rain,0.4353,1,Watch
25.81619,92.9889,7.37,223.9,13.05,2,Heavy Rain,0.2496,0,Safe
27.17349,92.15134,26.92,176.68,81.54,1,Light Rain,0.4507,1,Watch
27.90119,88.87058,26.38,183.57,51.79,3,Extreme Storm,0.4188,1,Watch
26.97179,89.12646,0.67,5.64,18.38,0,Clear,0.1003,0,Safe
25.99011,96.84215,7.4,17.15,73.93,3,Extreme Storm,0.3867,1,Watch
24.9384,96.58402,26.33,1.43,71.03,2,Heavy Rain,0.2553,1,Watch
27.9988,88.54824,33.74,20.31,14.27,3,Extreme Storm,0.2378,0,Safe
24.89258,95.21139,43.57,9.07,22.41,2,Heavy Rain,0.1774,0,Safe
23.90496,92.71794,58.88,56.83,18.38,3,Extreme Storm,0.3445,1,Watch
21.71578,94.32123,2.39,472.36,66.81,2,Heavy Rain,0.5051,2,Warning
21.51104,88.08447,8.95,17.3,65.42,3,Extreme Storm,0.3267,1,Watch
24.09745,88.99537,17.12,48.09,94.73,1,Light Rain,0.3086,1,Watch
28.07418,89.75524,0.96,14.5,38.12,3,Extreme Storm,0.2288,0,Safe
25.74893,93.35311,4.06,371.64,38.64,1,Light Rain,0.4352,1,Watch
23.68598,91.45426,1.83,20.28,60.18,2,Heavy Rain,0.2079,0,Safe
26.65417,90.89497,150.0,34.77,37.6,2,Heavy Rain,0.3751,1,Watch
27.84826,89.74529,99.07,73.63,61.45,2,Heavy Rain,0.4241,1,Watch
23.76696,88.04793,0.49,4.75,72.89,2,Heavy Rain,0.2374,0,Safe
28.38887,93.67473,46.95,61.49,41.54,0,Clear,0.1717,0,Safe
27.81961,88.47232,6.43,15.95,30.25,2,Heavy Rain,0.0833,0,Safe
23.40143,88.30646,0.59,152.9,80.41,0,Clear,0.3526,1,Watch
24.20325,93.59998,0.27,17.53,22.98,1,Light Rain,0.1626,0,Safe
28.99946,95.39719,1.11,277.93,35.45,2,Heavy Rain,0.3183,1,Watch
27.51495,91.15418,8.43,70.09,16.25,2,Heavy Rain,0.1564,0,Safe
24.04461,88.19025,3.93,394.73,31.75,2,Heavy Rain,0.448,1,Watch
28.45813,94.20447,1.04,45.62,59.07,2,Heavy Rain,0.2794,1,Watch
25.61768,95.10255,1.46,240.35,59.79,0,Clear,0.3833,1,Watch
26.25463,91.79307,19.95,570.71,35.39,1,Light Rain,0.5604,2,Warning
26.09271,92.88378,0.41,31.64,10.29,1,Light Rain,0.0398,0,Safe
25.84474,90.63234,16.78,20.45,99.22,1,Light Rain,0.3546,1,Watch
25.7792,93.95194,27.84,102.87,51.78,1,Light Rain,0.2499,0,Safe
22.57868,89.04492,27.42,50.86,73.13,3,Extreme Storm,0.3598,1,Watch
29.29317,93.81005,9.85,278.14,65.64,1,Light Rain,0.4438,1,Watch
26.61284,91.61977,45.88,273.48,45.62,2,Heavy Rain,0.4033,1,Watch
26.89981,96.0897,5.13,24.43,55.54,1,Light Rain,0.1941,0,Safe
23.77033,90.76886,10.79,556.45,98.61,2,Heavy Rain,0.6531,2,Warning
26.53261,91.441,1.25,32.83,47.69,0,Clear,0.1037,0,Safe
26.26898,90.46604,33.35,394.07,40.67,3,Extreme Storm,0.4981,1,Watch
21.89935,88.96988,16.37,211.34,58.16,1,Light Rain,0.4121,1,Watch
24.36415,91.09569,136.64,57.47,56.66,2,Heavy Rain,0.4757,1,Watch
26.00044,93.3284,8.44,45.61,43.28,2,Heavy Rain,0.3251,1,Watch
22.8582,93.30804,0.42,250.07,26.87,2,Heavy Rain,0.3395,1,Watch
24.30828,88.53575,0.68,459.32,80.05,0,Clear,0.5468,2,Warning
28.32485,94.66794,10.51,220.54,42.26,3,Extreme Storm,0.3264,1,Watch
24.97289,92.19084,1.94,69.61,22.28,2,Heavy Rain,0.1659,0,Safe
27.10071,91.92413,97.63,3.27,31.14,2,Heavy Rain,0.2637,1,Watch
27.22469,90.40003,10.59,34.34,48.75,1,Light Rain,0.1833,0,Safe
29.19833,94.47913,49.67,50.75,44.06,2,Heavy Rain,0.2751,1,Watch
26.28499,96.32207,25.68,109.32,19.39,1,Light Rain,0.1958,0,Safe
26.73357,89.01971,2.75,248.79,71.22,1,Light Rain,0.4149,1,Watch
23.55162,96.66489,49.25,21.52,72.28,2,Heavy Rain,0.3333,1,Watch
25.43572,89.60419,1.29,154.63,55.73,2,Heavy Rain,0.345,1,Watch
25.58341,91.10822,1.67,148.22,51.89,0,Clear,0.1727,0,Safe
24.70004,91.70044,20.1,42.93,82.61,1,Light Rain,0.3199,1,Watch
27.30812,92.30895,15.04,193.33,46.66,2,Heavy Rain,0.3198,1,Watch
29.39073,93.08735,61.62,15.33,36.16,3,Extreme Storm,0.3135,1,Watch
22.06371,89.685,0.49,228.66,32.11,3,Extreme Storm,0.368,1,Watch
26.73363,89.23955,16.21,186.81,81.15,2,Heavy Rain,0.3634,1,Watch
26.15103,94.68695,1.14,9.39,88.78,1,Light Rain,0.3222,1,Watch
26.25845,92.40603,19.69,264.11,21.55,1,Light Rain,0.2884,1,Watch
25.54978,92.88926,60.44,7.94,90.16,1,Light Rain,0.4392,1,Watch
26.97617,97.26953,9.78,146.64,76.61,1,Light Rain,0.3418,1,Watch
26.62762,97.37067,44.74,13.8,26.67,0,Clear,0.2033,0,Safe
27.27171,95.52033,14.88,95.84,30.98,0,Clear,0.1685,0,Safe
26.58321,88.19561,11.43,91.38,74.5,0,Clear,0.2769,1,Watch
24.51447,92.90631,44.66,129.71,52.57,2,Heavy Rain,0.3636,1,Watch
26.31105,93.86593,21.22,48.34,26.31,1,Light Rain,0.1579,0,Safe
26.41886,88.9549,127.79,431.47,68.29,1,Light Rain,0.6944,2,Warning
24.19177,89.85705,42.52,360.36,37.18,1,Light Rain,0.4464,1,Watch
26.51427,91.06465,71.28,500.04,71.72,1,Light Rain,0.6867,2,Warning
28.04674,94.4046,6.32,19.21,75.79,2,Heavy Rain,0.2888,1,Watch
25.00275,93.04254,65.62,35.1,43.18,0,Clear,0.2615,1,Watch
26.49748,91.89559,2.02,92.65,63.11,0,Clear,0.1622,0,Safe
24.71251,97.00277,13.66,27.5,30.72,2,Heavy Rain,0.2207,0,Safe
25.09743,88.40474,9.46,163.26,90.99,0,Clear,0.3224,1,Watch
28.64856,93.75749,4.25,80.83,24.78,2,Heavy Rain,0.1237,0,Safe
27.34593,94.47192,1.73,85.76,44.75,0,Clear,0.2458,0,Safe
25.20285,90.79902,1.3,226.22,72.18,0,Clear,0.3899,1,Watch
26.40161,91.03074,0.12,600.0,81.57,0,Clear,0.6037,2,Warning
27.49658,91.89805,13.03,158.47,82.75,1,Light Rain,0.4104,1,Watch
26.84302,92.13164,26.29,299.65,14.66,1,Light Rain,0.3003,1,Watch
25.60357,91.45049,150.0,27.64,25.46,1,Light Rain,0.3466,1,Watch
27.98815,89.9799,0.97,60.16,70.94,1,Light Rain,0.2286,0,Safe
24.09307,89.71732,84.67,23.25,72.91,2,Heavy Rain,0.3799,1,Watch
24.29733,91.86032,12.17,461.43,15.57,1,Light Rain,0.3898,1,Watch
23.70209,91.66124,1.05,69.95,28.7,1,Light Rain,0.1249,0,Safe
23.95331,91.07443,32.73,284.82,48.97,3,Extreme Storm,0.3529,1,Watch
26.70422,91.60568,148.79,99.25,90.46,0,Clear,0.533,2,Warning
22.78406,92.70034,0.58,173.84,49.14,0,Clear,0.2009,0,Safe
22.95218,91.36739,0.4,178.61,87.53,2,Heavy Rain,0.4171,1,Watch
25.85927,90.50491,76.99,21.75,65.37,1,Light Rain,0.33,1,Watch
23.27417,93.02681,0.48,49.55,26.55,2,Heavy Rain,0.1923,0,Safe
25.06105,91.63164,90.3,95.72,41.01,1,Light Rain,0.3507,1,Watch
23.92702,92.28004,6.89,52.3,95.11,0,Clear,0.2335,0,Safe
24.2465,89.36903,16.41,156.23,39.19,1,Light Rain,0.2122,0,Safe
27.43602,93.65384,1.31,415.83,40.9,2,Heavy Rain,0.3987,1,Watch
26.9171,92.863,0.68,241.88,39.89,1,Light Rain,0.2609,1,Watch
25.85722,97.22023,49.24,280.61,78.73,1,Light Rain,0.4712,1,Watch
25.7145,97.06625,11.69,17.53,37.86,3,Extreme Storm,0.2626,1,Watch
29.36256,92.77076,1.84,80.5,44.72,1,Light Rain,0.2093,0,Safe
26.60614,97.26266,1.63,180.89,88.49,2,Heavy Rain,0.3368,1,Watch
23.29105,93.35977,1.17,61.14,71.0,2,Heavy Rain,0.2519,1,Watch
24.26125,94.48022,0.4,298.6,22.56,0,Clear,0.2547,1,Watch
27.67044,92.32251,2.12,188.26,33.83,1,Light Rain,0.2068,0,Safe
25.57798,92.44571,10.9,600.0,44.28,3,Extreme Storm,0.6321,2,Warning
27.23741,88.82186,40.7,21.88,59.64,2,Heavy Rain,0.2646,1,Watch
24.93265,89.5304,3.56,101.03,84.41,1,Light Rain,0.3123,1,Watch
25.3169,93.08467,128.8,34.56,27.97,1,Light Rain,0.3182,1,Watch
22.54014,94.37355,1.23,127.76,19.06,1,Light Rain,0.1727,0,Safe
24.55138,92.91706,1.14,192.46,32.9,2,Heavy Rain,0.3368,1,Watch
24.31867,89.52361,2.81,146.78,77.6,0,Clear,0.3322,1,Watch
27.94263,90.99058,13.63,92.7,97.35,1,Light Rain,0.318,1,Watch
25.16427,92.50749,150.0,72.35,26.49,1,Light Rain,0.4982,1,Watch
25.56737,90.72621,0.21,95.62,47.86,1,Light Rain,0.2643,1,Watch
26.73315,90.03552,6.71,19.68,14.41,2,Heavy Rain,0.0996,0,Safe
25.03861,95.51592,14.05,428.61,27.45,2,Heavy Rain,0.4098,1,Watch
23.52324,92.72521,1.77,253.1,87.25,0,Clear,0.4034,1,Watch
23.21298,91.98861,12.33,253.95,43.25,0,Clear,0.3261,1,Watch
26.28217,90.64201,52.06,0.12,34.94,3,Extreme Storm,0.3449,1,Watch
29.27707,92.73111,0.75,56.95,79.13,2,Heavy Rain,0.3241,1,Watch
23.83257,90.90292,122.69,238.09,68.34,2,Heavy Rain,0.5742,2,Warning
28.68864,88.07249,28.9,13.93,57.75,0,Clear,0.1815,0,Safe
26.34183,95.7809,92.2,13.4,34.15,0,Clear,0.273,1,Watch
23.35664,91.40267,15.36,508.06,19.2,1,Light Rain,0.392,1,Watch
28.0307,91.27925,1.65,7.88,90.4,3,Extreme Storm,0.3938,1,Watch
28.00802,93.53109,19.17,138.58,93.26,0,Clear,0.3357,1,Watch
22.23557,90.34777,1.33,14.01,36.67,3,Extreme Storm,0.2416,0,Safe
29.1982,90.51869,13.11,53.05,86.95,0,Clear,0.3226,1,Watch
25.91111,92.84856,1.16,72.86,18.45,1,Light Rain,0.2522,1,Watch
27.85989,93.27569,5.22,203.9,81.17,1,Light Rain,0.3687,1,Watch
24.09424,90.73236,0.85,3.97,48.84,0,Clear,0.115,0,Safe
26.78751,91.9594,1.12,546.39,76.76,3,Extreme Storm,0.6448,2,Warning
21.80873,90.11052,1.57,27.16,21.13,1,Light Rain,0.1138,0,Safe
28.43487,93.79432,30.68,118.7,14.26,0,Clear,0.1401,0,Safe
24.70103,91.7919,9.93,295.44,24.5,0,Clear,0.3232,1,Watch
24.10193,94.49712,0.01,27.22,98.29,1,Light Rain,0.3375,1,Watch
23.90187,94.35789,19.64,9.52,25.12,0,Clear,0.0916,0,Safe
25.93378,93.71974,0.2,50.52,82.72,0,Clear,0.2124,0,Safe
26.59724,92.79935,30.65,380.75,60.66,0,Clear,0.4391,1,Watch
24.94953,88.05407,2.07,44.61,54.05,0,Clear,0.1496,0,Safe
25.52719,92.77339,1.63,225.11,84.43,3,Extreme Storm,0.4836,1,Watch
26.76499,90.67727,18.38,66.22,75.68,1,Light Rain,0.305,1,Watch
23.95454,95.10261,1.86,142.62,98.76,2,Heavy Rain,0.4446,1,Watch
25.91536,90.55726,1.26,78.41,97.75,2,Heavy Rain,0.4249,1,Watch
25.09757,92.2006,1.34,50.65,56.44,3,Extreme Storm,0.289,1,Watch
26.72611,92.03205,1.69,491.39,96.38,0,Clear,0.5951,2,Warning
24.47769,88.55375,22.66,106.09,45.41,1,Light Rain,0.3536,1,Watch
26.40846,89.97838,5.32,58.92,58.54,1,Light Rain,0.2507,1,Watch
24.7744,97.4717,57.89,0.11,62.03,1,Light Rain,0.2654,1,Watch
24.55408,89.43887,0.18,345.3,20.19,1,Light Rain,0.3116,1,Watch
26.05641,91.45578,0.57,334.21,66.85,0,Clear,0.3243,1,Watch
27.38943,93.48024,14.5,330.2,88.38,2,Heavy Rain,0.5537,2,Warning
23.55077,94.43464,11.21,215.59,30.58,0,Clear,0.2169,0,Safe
26.33006,94.32986,62.57,8.03,52.0,3,Extreme Storm,0.304,1,Watch
23.99421,91.31869,48.44,216.75,14.45,0,Clear,0.2267,0,Safe
26.518,88.18773,44.27,465.13,59.13,2,Heavy Rain,0.6441,2,Warning
23.10696,91.41613,2.37,98.54,33.03,2,Heavy Rain,0.2085,0,Safe
26.59347,88.03017,0.56,15.39,55.97,0,Clear,0.1817,0,Safe
28.20808,91.76756,7.1,133.25,30.57,3,Extreme Storm,0.2925,1,Watch
26.81847,94.96636,1.13,400.41,15.93,1,Light Rain,0.35,1,Watch
29.46834,91.00571,25.51,51.07,94.11,3,Extreme Storm,0.3965,1,Watch
23.47455,89.22084,9.88,221.07,47.59,0,Clear,0.3026,1,Watch
27.74153,94.44788,0.49,334.51,46.98,2,Heavy Rain,0.3909,1,Watch
26.04008,91.33183,10.48,232.92,21.43,0,Clear,0.2326,0,Safe
24.73898,90.02447,8.14,566.47,49.03,1,Light Rain,0.5914,2,Warning
28.64258,92.41888,48.35,200.03,81.99,1,Light Rain,0.5049,2,Warning
27.98389,93.39508,1.96,3.6,14.84,1,Light Rain,0.0587,0,Safe
25.1778,92.37269,0.2,357.15,67.53,1,Light Rain,0.4555,1,Watch
23.91284,97.01102,1.3,15.68,64.11,2,Heavy Rain,0.2629,1,Watch
27.68981,93.58779,1.84,196.4,61.03,2,Heavy Rain,0.3627,1,Watch
21.86365,92.63039,49.68,195.09,24.37,1,Light Rain,0.3377,1,Watch
24.04614,90.51161,0.91,53.38,24.46,1,Light Rain,0.1626,0,Safe
27.47532,94.47359,8.78,216.55,50.21,1,Light Rain,0.3914,1,Watch
25.6431,95.75001,0.68,88.41,19.11,1,Light Rain,0.2274,0,Safe
26.54189,92.64273,1.81,113.92,21.83,0,Clear,0.1269,0,Safe
26.96402,90.73771,31.22,50.54,68.99,2,Heavy Rain,0.3913,1,Watch
28.60989,89.38816,35.66,205.6,49.63,2,Heavy Rain,0.4048,1,Watch
29.10227,91.20229,14.67,16.89,15.59,1,Light Rain,0.1009,0,Safe
26.56398,89.93218,0.92,85.82,55.7,2,Heavy Rain,0.289,1,Watch
23.39904,93.44152,16.19,43.71,44.32,3,Extreme Storm,0.2576,1,Watch
24.99147,96.8232,97.72,167.6,26.63,3,Extreme Storm,0.4395,1,Watch
24.02623,91.16415,2.09,122.14,53.35,2,Heavy Rain,0.2411,0,Safe
26.20675,91.5505,58.86,32.15,13.65,1,Light Rain,0.1902,0,Safe
22.61353,89.07401,65.69,118.24,68.36,1,Light Rain,0.4298,1,Watch
25.01653,91.08255,2.28,29.13,48.78,1,Light Rain,0.2073,0,Safe
26.79699,93.87623,11.22,185.1,71.6,1,Light Rain,0.369,1,Watch
24.8004,88.19911,0.17,6.1,71.36,2,Heavy Rain,0.3189,1,Watch
26.22598,91.36423,1.14,138.92,76.5,3,Extreme Storm,0.4711,1,Watch
26.13305,97.47452,0.07,52.36,13.13,0,Clear,0.0878,0,Safe
24.47571,89.35377,0.81,96.26,22.07,0,Clear,0.1846,0,Safe
25.65634,90.89035,2.57,130.32,71.44,0,Clear,0.2837,1,Watch
25.74069,89.38581,51.91,74.56,82.29,2,Heavy Rain,0.4121,1,Watch
28.59444,96.30393,1.63,69.4,24.78,1,Light Rain,0.1827,0,Safe
26.9352,89.45342,18.07,165.93,54.63,1,Light Rain,0.3078,1,Watch
26.56046,94.12041,9.04,4.95,85.25,1,Light Rain,0.1704,0,Safe
26.18276,96.17604,28.0,411.14,68.5,3,Extreme Storm,0.5817,2,Warning
23.70986,91.09185,33.71,108.64,16.65,1,Light Rain,0.1433,0,Safe
