latitude,longitude,slope_degrees,elevation_m,land_use_code,land_use_label,soil_code,soil_label,susceptibility_score,is_susceptible
26.10267,92.31016,29.13,709.0,0,Dense Forest,1,Laterite,0.3363,0
22.79842,93.41221,21.38,563.4,3,Urban,0,Granite/Gneiss,0.2307,0
21.81199,92.23751,18.48,239.4,2,Degraded Forest,3,Colluvial,0.3642,0
23.19845,89.29862,34.05,385.2,4,Barren,3,Colluvial,0.5867,1
26.49253,91.52287,39.24,1041.8,3,Urban,2,Alluvial,0.5821,1
27.82904,91.81849,35.37,1869.7,3,Urban,3,Colluvial,0.6245,1
23.56706,91.7042,27.65,989.9,1,Agriculture,4,Shale,0.4513,0
26.29152,91.2448,38.97,1119.5,3,Urban,3,Colluvial,0.6093,1
21.86681,93.28687,32.74,94.9,1,Agriculture,1,Laterite,0.1782,0
21.78979,92.33095,14.83,391.0,3,Urban,1,Laterite,0.2685,0
24.861,91.24601,26.94,807.0,3,Urban,1,Laterite,0.4039,0
28.94955,89.7989,53.43,1892.8,2,Degraded Forest,1,Laterite,0.4865,0
28.27643,90.89946,24.42,1736.3,1,Agriculture,1,Laterite,0.3148,0
27.83548,94.99279,37.12,1532.9,2,Degraded Forest,1,Laterite,0.4137,0
24.72682,93.64626,32.66,859.1,1,Agriculture,4,Shale,0.4644,0
29.14778,93.73377,52.06,1894.7,1,Agriculture,3,Colluvial,0.533,0
26.70961,93.17232,16.86,1054.4,4,Barren,4,Shale,0.5943,1
23.94242,96.03817,13.45,513.6,1,Agriculture,4,Shale,0.3741,0
26.09855,92.81135,12.3,1179.8,0,Dense Forest,3,Colluvial,0.2982,0
28.07825,91.54254,46.65,1489.3,2,Degraded Forest,1,Laterite,0.4498,0
21.96443,91.20094,18.38,760.0,2,Degraded Forest,3,Colluvial,0.4206,0
22.58711,93.00739,30.43,371.1,3,Urban,0,Granite/Gneiss,0.2941,0
22.73651,93.29491,19.87,50.0,2,Degraded Forest,0,Granite/Gneiss,0.1479,0
25.95591,88.22002,49.64,539.8,0,Dense Forest,0,Granite/Gneiss,0.2722,0
24.97471,91.02497,20.49,1046.0,0,Dense Forest,0,Granite/Gneiss,0.1726,0
25.57028,91.44492,27.33,1044.1,0,Dense Forest,3,Colluvial,0.4923,0
29.08737,92.87121,46.76,2095.3,0,Dense Forest,4,Shale,0.4358,0
24.24208,92.34391,19.58,588.2,3,Urban,1,Laterite,0.3534,0
24.4196,93.68654,29.29,732.8,1,Agriculture,0,Granite/Gneiss,0.1962,0
25.90559,93.28921,30.64,1147.1,1,Agriculture,1,Laterite,0.3626,0
27.64957,92.75881,36.71,1452.6,3,Urban,3,Colluvial,0.6181,1
26.03787,90.99875,31.01,1073.5,1,Agriculture,1,Laterite,0.3305,0
25.51358,95.10744,35.69,1148.2,0,Dense Forest,4,Shale,0.4209,0
26.51523,93.15438,31.06,1061.7,2,Degraded Forest,0,Granite/Gneiss,0.3306,0
26.61479,93.09575,25.22,1358.0,0,Dense Forest,4,Shale,0.3614,0
26.95027,90.85927,35.98,1692.0,2,Degraded Forest,0,Granite/Gneiss,0.3543,0
24.166,95.9814,19.93,1030.9,3,Urban,2,Alluvial,0.3933,0
27.62792,92.70902,29.99,1117.6,4,Barren,1,Laterite,0.432,0
29.24597,91.92606,30.2,1744.9,0,Dense Forest,2,Alluvial,0.2869,0
26.89907,90.44003,42.7,1372.9,1,Agriculture,0,Granite/Gneiss,0.2305,0
26.95601,91.23251,40.76,1583.2,2,Degraded Forest,4,Shale,0.6565,1
27.05987,92.07573,47.11,1392.9,1,Agriculture,0,Granite/Gneiss,0.365,0
25.92864,94.09498,31.63,1352.4,1,Agriculture,2,Alluvial,0.3816,0
28.73089,97.43537,50.74,1593.1,0,Dense Forest,0,Granite/Gneiss,0.3037,0
24.54878,90.39459,18.88,851.9,2,Degraded Forest,1,Laterite,0.3135,0
28.88099,92.01502,27.41,1831.7,3,Urban,0,Granite/Gneiss,0.3737,0
25.3505,94.92244,23.43,1229.0,4,Barren,4,Shale,0.5931,1
28.70633,96.37301,40.38,1903.1,3,Urban,0,Granite/Gneiss,0.4011,0
22.84315,88.17756,22.92,540.2,0,Dense Forest,1,Laterite,0.1863,0
26.4546,90.72752,43.83,1384.7,2,Degraded Forest,1,Laterite,0.44,0
27.84364,93.12681,41.37,1285.4,1,Agriculture,3,Colluvial,0.4726,0
24.70698,91.11359,45.09,787.3,4,Barren,0,Granite/Gneiss,0.5102,0
27.49061,88.23258,38.42,1246.9,4,Barren,3,Colluvial,0.5808,1
26.70764,96.00511,35.33,1141.1,4,Barren,2,Alluvial,0.4882,0
29.4432,96.52183,47.49,1852.5,3,Urban,2,Alluvial,0.5539,1
22.73001,97.29978,22.64,50.0,1,Agriculture,1,Laterite,0.2,0
28.58911,97.41678,44.5,1667.5,2,Degraded Forest,2,Alluvial,0.5327,0
24.83373,93.05008,17.64,693.5,4,Barren,1,Laterite,0.377,0
21.64809,92.63896,22.37,50.0,2,Degraded Forest,1,Laterite,0.2386,0
28.7626,88.02968,62.28,1753.3,3,Urban,1,Laterite,0.5783,1
25.74055,92.19536,23.84,976.4,4,Barren,3,Colluvial,0.6259,1
27.14986,89.55507,35.86,1439.5,2,Degraded Forest,0,Granite/Gneiss,0.3139,0
28.84717,94.94485,31.57,1623.3,0,Dense Forest,1,Laterite,0.2935,0
24.40658,92.34949,31.92,718.9,0,Dense Forest,2,Alluvial,0.3505,0
27.45296,93.47488,43.33,1931.2,0,Dense Forest,1,Laterite,0.3006,0
27.26114,91.37861,24.57,1520.9,1,Agriculture,2,Alluvial,0.347,0
26.36897,91.10045,22.76,1026.3,1,Agriculture,2,Alluvial,0.3898,0
25.70074,92.00255,14.1,1293.1,2,Degraded Forest,1,Laterite,0.39,0
27.66482,91.02576,50.68,1796.8,1,Agriculture,1,Laterite,0.4568,0
22.08246,88.95038,10.47,350.8,4,Barren,1,Laterite,0.3184,0
23.7845,97.36624,22.49,457.6,0,Dense Forest,2,Alluvial,0.2482,0
28.42239,94.94891,38.03,1864.1,3,Urban,4,Shale,0.6628,1
25.50299,96.47334,37.92,885.2,0,Dense Forest,1,Laterite,0.2031,0
28.22411,91.38029,45.5,1883.1,2,Degraded Forest,3,Colluvial,0.5379,0
23.25331,90.96427,26.43,446.3,2,Degraded Forest,3,Colluvial,0.4425,0
27.98054,91.01632,32.81,1502.2,3,Urban,3,Colluvial,0.5009,0
23.43005,89.44101,27.69,639.1,1,Agriculture,3,Colluvial,0.4336,0
28.25145,95.24561,47.75,1901.1,0,Dense Forest,0,Granite/Gneiss,0.3325,0
21.73413,94.66984,21.09,626.3,1,Agriculture,1,Laterite,0.2021,0
24.97607,90.88748,17.72,887.5,0,Dense Forest,4,Shale,0.3973,0
28.61393,93.2513,32.64,1618.7,1,Agriculture,2,Alluvial,0.3959,0
25.07003,91.47282,42.28,739.1,1,Agriculture,0,Granite/Gneiss,0.3177,0
22.74848,95.41728,35.23,84.5,2,Degraded Forest,1,Laterite,0.3329,0
25.81867,92.79819,30.64,870.5,3,Urban,1,Laterite,0.5584,1
22.06193,90.88924,16.54,273.6,4,Barren,4,Shale,0.4864,0
26.31264,91.33689,34.31,1393.8,1,Agriculture,2,Alluvial,0.406,0
26.6351,94.5243,38.89,1074.6,0,Dense Forest,3,Colluvial,0.3852,0
22.83039,91.24449,8.45,556.8,3,Urban,1,Laterite,0.2259,0
22.22854,95.20693,19.58,91.5,1,Agriculture,0,Granite/Gneiss,0.1016,0
26.11653,95.722,24.07,990.7,1,Agriculture,0,Granite/Gneiss,0.2588,0
22.39482,91.70041,18.19,87.4,2,Degraded Forest,2,Alluvial,0.3073,0
25.47326,95.62649,22.83,1260.4,2,Degraded Forest,1,Laterite,0.3426,0
24.56234,95.79704,21.3,1110.3,3,Urban,0,Granite/Gneiss,0.3279,0
26.55819,88.74511,35.42,1092.3,4,Barren,1,Laterite,0.3952,0
29.31515,89.2528,39.37,1696.6,4,Barren,3,Colluvial,0.597,1
24.82734,95.61995,18.69,973.2,3,Urban,0,Granite/Gneiss,0.2265,0
22.77282,91.56018,31.4,732.0,3,Urban,2,Alluvial,0.341,0
26.15882,94.08753,23.79,1471.0,0,Dense Forest,3,Colluvial,0.3748,0
26.5112,94.24734,15.31,1150.5,3,Urban,1,Laterite,0.3339,0
25.81619,92.9889,35.74,1034.4,0,Dense Forest,1,Laterite,0.3726,0
27.17349,92.15134,33.96,1130.2,2,Degraded Forest,4,Shale,0.579,1
27.90119,88.87058,38.77,1461.0,0,Dense Forest,3,Colluvial,0.3129,0
26.97179,89.12646,36.78,1350.5,1,Agriculture,3,Colluvial,0.4296,0
25.99011,96.84215,42.0,840.3,0,Dense Forest,1,Laterite,0.2621,0
24.9384,96.58402,42.8,764.6,1,Agriculture,4,Shale,0.5468,0
27.9988,88.54824,41.4,1606.7,1,Agriculture,0,Granite/Gneiss,0.1916,0
24.89258,95.21139,18.32,559.3,0,Dense Forest,4,Shale,0.3709,0
23.90496,92.71794,25.19,734.9,3,Urban,4,Shale,0.5964,1
21.71578,94.32123,20.52,352.6,3,Urban,2,Alluvial,0.3642,0
21.51104,88.08447,23.07,216.5,3,Urban,2,Alluvial,0.3505,0
24.09745,88.99537,25.84,585.1,3,Urban,3,Colluvial,0.5264,0
28.07418,89.75524,35.17,1813.6,3,Urban,1,Laterite,0.3809,0
25.74893,93.35311,23.68,1333.5,4,Barren,2,Alluvial,0.5649,1
23.68598,91.45426,22.26,655.4,2,Degraded Forest,4,Shale,0.5314,0
26.65417,90.89497,22.32,1289.5,2,Degraded Forest,0,Granite/Gneiss,0.2964,0
27.84826,89.74529,41.96,1404.4,3,Urban,4,Shale,0.7177,1
23.76696,88.04793,24.92,528.7,1,Agriculture,3,Colluvial,0.3667,0
28.38887,93.67473,42.21,1864.4,0,Dense Forest,3,Colluvial,0.4731,0
27.81961,88.47232,44.44,1891.8,2,Degraded Forest,0,Granite/Gneiss,0.371,0
23.40143,88.30646,33.74,444.8,0,Dense Forest,1,Laterite,0.2199,0
24.20325,93.59998,24.57,674.0,1,Agriculture,4,Shale,0.474,0
28.99946,95.39719,43.74,1657.9,0,Dense Forest,0,Granite/Gneiss,0.249,0
27.51495,91.15418,34.6,1367.2,3,Urban,3,Colluvial,0.5529,1
24.04461,88.19025,28.95,420.9,4,Barren,3,Colluvial,0.5365,0
28.45813,94.20447,41.03,1751.4,0,Dense Forest,1,Laterite,0.297,0
25.61768,95.10255,39.68,772.9,0,Dense Forest,3,Colluvial,0.4327,0
26.25463,91.79307,41.9,1060.1,0,Dense Forest,0,Granite/Gneiss,0.224,0
26.09271,92.88378,34.75,1121.1,2,Degraded Forest,2,Alluvial,0.446,0
25.84474,90.63234,30.66,814.8,1,Agriculture,1,Laterite,0.3046,0
25.7792,93.95194,28.86,908.0,1,Agriculture,3,Colluvial,0.4351,0
22.57868,89.04492,22.89,117.6,0,Dense Forest,4,Shale,0.3441,0
29.29317,93.81005,48.09,2073.4,1,Agriculture,0,Granite/Gneiss,0.2906,0
26.61284,91.61977,31.98,1535.3,1,Agriculture,2,Alluvial,0.4333,0
26.89981,96.0897,37.56,1157.1,2,Degraded Forest,2,Alluvial,0.4471,0
23.77033,90.76886,17.32,1163.5,0,Dense Forest,1,Laterite,0.1993,0
26.53261,91.441,37.48,1045.5,2,Degraded Forest,2,Alluvial,0.5109,0
26.26898,90.46604,27.36,1088.4,1,Agriculture,4,Shale,0.5224,0
21.89935,88.96988,22.67,288.4,1,Agriculture,4,Shale,0.3986,0
24.36415,91.09569,23.21,861.9,1,Agriculture,0,Granite/Gneiss,0.2556,0
26.00044,93.3284,45.27,1048.8,2,Degraded Forest,3,Colluvial,0.6309,1
22.8582,93.30804,20.41,624.4,2,Degraded Forest,3,Colluvial,0.3918,0
24.30828,88.53575,27.43,971.6,3,Urban,4,Shale,0.61,1
28.32485,94.66794,29.4,1634.1,0,Dense Forest,0,Granite/Gneiss,0.2636,0
24.97289,92.19084,39.28,851.4,0,Dense Forest,3,Colluvial,0.5011,0
27.10071,91.92413,35.7,1238.1,0,Dense Forest,4,Shale,0.4354,0
27.22469,90.40003,50.38,1180.0,1,Agriculture,4,Shale,0.577,1
29.19833,94.47913,44.25,1672.0,0,Dense Forest,2,Alluvial,0.3958,0
26.28499,96.32207,31.23,1285.5,0,Dense Forest,1,Laterite,0.2487,0
26.73357,89.01971,30.53,1277.7,1,Agriculture,3,Colluvial,0.4299,0
23.55162,96.66489,27.83,512.8,2,Degraded Forest,1,Laterite,0.3528,0
25.43572,89.60419,33.93,871.3,3,Urban,2,Alluvial,0.4587,0
25.58341,91.10822,19.64,908.9,1,Agriculture,2,Alluvial,0.3913,0
24.70004,91.70044,22.45,811.0,1,Agriculture,1,Laterite,0.3573,0
27.30812,92.30895,42.56,1382.0,3,Urban,1,Laterite,0.4604,0
29.39073,93.08735,39.43,1875.2,1,Agriculture,0,Granite/Gneiss,0.2557,0
22.06371,89.685,10.58,137.9,3,Urban,1,Laterite,0.2459,0
26.73363,89.23955,36.2,1143.4,4,Barren,2,Alluvial,0.4967,0
26.15103,94.68695,33.14,1148.2,3,Urban,1,Laterite,0.3818,0
26.25845,92.40603,29.13,1300.6,1,Agriculture,3,Colluvial,0.4915,0
25.54978,92.88926,44.33,909.5,2,Degraded Forest,2,Alluvial,0.5424,0
26.97617,97.26953,34.34,854.7,2,Degraded Forest,3,Colluvial,0.5023,0
26.62762,97.37067,24.11,980.2,1,Agriculture,0,Granite/Gneiss,0.208,0
27.27171,95.52033,23.69,1613.5,3,Urban,3,Colluvial,0.4876,0
26.58321,88.19561,42.24,1442.5,1,Agriculture,4,Shale,0.5079,0
24.51447,92.90631,17.53,907.6,3,Urban,1,Laterite,0.3792,0
26.31105,93.86593,33.28,1285.0,0,Dense Forest,1,Laterite,0.2552,0
26.41886,88.9549,26.45,1410.3,0,Dense Forest,3,Colluvial,0.3551,0
24.19177,89.85705,24.28,637.0,2,Degraded Forest,3,Colluvial,0.4099,0
26.51427,91.06465,36.59,1256.0,1,Agriculture,0,Granite/Gneiss,0.3407,0
28.04674,94.4046,28.63,1418.7,0,Dense Forest,4,Shale,0.3371,0
25.00275,93.04254,24.49,853.1,1,Agriculture,2,Alluvial,0.3928,0
26.49748,91.89559,28.35,1603.7,0,Dense Forest,3,Colluvial,0.4231,0
24.71251,97.00277,19.32,657.5,2,Degraded Forest,1,Laterite,0.3014,0
25.09743,88.40474,25.49,676.4,1,Agriculture,1,Laterite,0.2054,0
28.64856,93.75749,36.82,1669.7,0,Dense Forest,0,Granite/Gneiss,0.2247,0
27.34593,94.47192,43.91,1335.4,1,Agriculture,1,Laterite,0.3483,0
25.20285,90.79902,23.16,986.3,0,Dense Forest,4,Shale,0.4589,0
26.40161,91.03074,36.99,1361.4,2,Degraded Forest,3,Colluvial,0.5538,1
27.49658,91.89805,40.81,1374.3,0,Dense Forest,3,Colluvial,0.4139,0
26.84302,92.13164,23.03,1723.5,3,Urban,4,Shale,0.583,1
25.60357,91.45049,26.34,1269.4,0,Dense Forest,0,Granite/Gneiss,0.3033,0
27.98815,89.9799,38.45,1407.1,1,Agriculture,1,Laterite,0.3975,0
24.09307,89.71732,26.85,667.6,2,Degraded Forest,4,Shale,0.5195,0
24.29733,91.86032,23.6,835.1,0,Dense Forest,2,Alluvial,0.3749,0
23.70209,91.66124,31.59,429.7,0,Dense Forest,3,Colluvial,0.3155,0
23.95331,91.07443,25.04,239.1,1,Agriculture,2,Alluvial,0.362,0
26.70422,91.60568,38.08,1656.8,0,Dense Forest,3,Colluvial,0.4656,0
22.78406,92.70034,15.08,167.5,1,Agriculture,2,Alluvial,0.2287,0
22.95218,91.36739,24.13,597.2,2,Degraded Forest,3,Colluvial,0.4439,0
25.85927,90.50491,46.84,1220.9,0,Dense Forest,4,Shale,0.5782,1
23.27417,93.02681,25.87,336.0,1,Agriculture,3,Colluvial,0.3475,0
25.06105,91.63164,37.18,1293.2,4,Barren,2,Alluvial,0.6656,1
23.92702,92.28004,21.77,659.0,3,Urban,1,Laterite,0.3624,0
24.2465,89.36903,32.69,745.5,0,Dense Forest,1,Laterite,0.2229,0
27.43602,93.65384,45.35,1128.0,0,Dense Forest,3,Colluvial,0.4752,0
26.9171,92.863,37.28,896.5,1,Agriculture,0,Granite/Gneiss,0.2037,0
25.85722,97.22023,30.74,1031.9,0,Dense Forest,4,Shale,0.4898,0
25.7145,97.06625,18.84,1307.7,0,Dense Forest,3,Colluvial,0.3468,0
29.36256,92.77076,44.23,1496.7,0,Dense Forest,4,Shale,0.4325,0
26.60614,97.26266,38.67,1278.0,0,Dense Forest,1,Laterite,0.3336,0
23.29105,93.35977,15.59,519.3,1,Agriculture,4,Shale,0.3899,0
24.26125,94.48022,15.19,969.5,1,Agriculture,3,Colluvial,0.2567,0
27.67044,92.32251,38.95,1691.6,0,Dense Forest,3,Colluvial,0.3565,0
25.57798,92.44571,32.14,1045.6,1,Agriculture,1,Laterite,0.4007,0
27.23741,88.82186,25.74,1372.2,1,Agriculture,2,Alluvial,0.2934,0
24.93265,89.5304,28.2,728.4,2,Degraded Forest,2,Alluvial,0.3696,0
25.3169,93.08467,31.63,729.7,4,Barren,1,Laterite,0.4969,0
22.54014,94.37355,29.47,208.8,4,Barren,1,Laterite,0.4228,0
24.55138,92.91706,22.63,565.2,1,Agriculture,4,Shale,0.4777,0
24.31867,89.52361,42.26,713.2,3,Urban,0,Granite/Gneiss,0.3543,0
27.94263,90.99058,39.59,1542.6,0,Dense Forest,1,Laterite,0.2714,0
25.16427,92.50749,19.13,869.5,1,Agriculture,1,Laterite,0.2638,0
25.56737,90.72621,27.61,1037.0,2,Degraded Forest,4,Shale,0.5936,1
26.73315,90.03552,25.72,1185.6,2,Degraded Forest,2,Alluvial,0.4039,0
25.03861,95.51592,26.93,1064.5,0,Dense Forest,1,Laterite,0.2368,0
23.52324,92.72521,26.33,601.0,0,Dense Forest,2,Alluvial,0.2853,0
23.21298,91.98861,23.57,388.6,1,Agriculture,3,Colluvial,0.3689,0
26.28217,90.64201,23.89,942.7,2,Degraded Forest,0,Granite/Gneiss,0.3186,0
29.27707,92.73111,34.13,1833.5,4,Barren,0,Granite/Gneiss,0.4223,0
23.83257,90.90292,27.1,853.1,0,Dense Forest,0,Granite/Gneiss,0.2139,0
28.68864,88.07249,47.11,1835.3,4,Barren,2,Alluvial,0.5936,1
26.34183,95.7809,29.25,1341.0,0,Dense Forest,2,Alluvial,0.2713,0
23.35664,91.40267,3.0,662.6,4,Barren,3,Colluvial,0.4711,0
28.0307,91.27925,30.22,1812.5,3,Urban,3,Colluvial,0.5188,0
28.00802,93.53109,47.3,1736.7,0,Dense Forest,1,Laterite,0.3411,0
22.23557,90.34777,11.85,295.3,0,Dense Forest,1,Laterite,0.0832,0
29.1982,90.51869,41.09,1750.7,0,Dense Forest,1,Laterite,0.3929,0
25.91111,92.84856,35.97,1267.7,4,Barren,0,Granite/Gneiss,0.4069,0
27.85989,93.27569,36.4,1047.2,1,Agriculture,1,Laterite,0.3571,0
24.09424,90.73236,35.91,937.2,2,Degraded Forest,3,Colluvial,0.4483,0
26.78751,91.9594,31.84,1427.7,0,Dense Forest,1,Laterite,0.2729,0
21.80873,90.11052,9.27,497.2,4,Barren,3,Colluvial,0.4642,0
28.43487,93.79432,50.46,1436.4,0,Dense Forest,2,Alluvial,0.4802,0
24.70103,91.7919,27.39,1052.6,0,Dense Forest,1,Laterite,0.294,0
24.10193,94.49712,16.13,818.1,1,Agriculture,2,Alluvial,0.2529,0
23.90187,94.35789,27.78,518.9,1,Agriculture,2,Alluvial,0.3312,0
25.93378,93.71974,29.27,1070.3,0,Dense Forest,4,Shale,0.5134,0
26.59724,92.79935,24.95,1205.6,2,Degraded Forest,3,Colluvial,0.4767,0
24.94953,88.05407,28.7,803.2,0,Dense Forest,2,Alluvial,0.3047,0
25.52719,92.77339,28.84,736.4,1,Agriculture,3,Colluvial,0.4393,0
26.76499,90.67727,21.24,1519.5,1,Agriculture,1,Laterite,0.3175,0
23.95454,95.10261,15.73,463.0,0,Dense Forest,3,Colluvial,0.2057,0
25.91536,90.55726,46.48,883.5,1,Agriculture,4,Shale,0.6586,1
25.09757,92.2006,29.14,1149.3,2,Degraded Forest,3,Colluvial,0.6025,1
26.72611,92.03205,45.37,995.3,0,Dense Forest,1,Laterite,0.4255,0
24.47769,88.55375,28.64,709.5,1,Agriculture,3,Colluvial,0.449,0
26.40846,89.97838,43.3,1005.5,2,Degraded Forest,4,Shale,0.591,1
24.7744,97.4717,31.73,1164.1,0,Dense Forest,0,Granite/Gneiss,0.2421,0
24.55408,89.43887,18.88,1015.9,2,Degraded Forest,2,Alluvial,0.4046,0
26.05641,91.45578,36.94,960.9,0,Dense Forest,1,Laterite,0.3106,0
27.38943,93.48024,29.46,1225.7,0,Dense Forest,1,Laterite,0.25,0
23.55077,94.43464,30.13,714.9,3,Urban,1,Laterite,0.2594,0
26.33006,94.32986,34.85,1273.4,0,Dense Forest,1,Laterite,0.2208,0
23.99421,91.31869,24.5,590.4,1,Agriculture,1,Laterite,0.3138,0
26.518,88.18773,30.31,1139.7,2,Degraded Forest,2,Alluvial,0.468,0
23.10696,91.41613,27.41,414.8,0,Dense Forest,3,Colluvial,0.3655,0
26.59347,88.03017,32.84,1426.4,1,Agriculture,0,Granite/Gneiss,0.2517,0
28.20808,91.76756,24.88,1923.5,4,Barren,4,Shale,0.5846,1
26.81847,94.96636,21.23,1661.2,2,Degraded Forest,1,Laterite,0.3376,0
29.46834,91.00571,34.73,1746.0,0,Dense Forest,3,Colluvial,0.3293,0
23.47455,89.22084,28.68,555.9,2,Degraded Forest,1,Laterite,0.3346,0
27.74153,94.44788,45.29,1773.0,0,Dense Forest,1,Laterite,0.3001,0
26.04008,91.33183,34.63,947.4,0,Dense Forest,2,Alluvial,0.4196,0
24.73898,90.02447,29.66,692.4,3,Urban,3,Colluvial,0.569,1
28.64258,92.41888,53.35,1866.5,0,Dense Forest,3,Colluvial,0.4822,0
27.98389,93.39508,42.06,1465.1,0,Dense Forest,3,Colluvial,0.4723,0
25.1778,92.37269,33.9,632.4,1,Agriculture,2,Alluvial,0.3699,0
23.91284,97.01102,23.96,477.5,4,Barren,0,Granite/Gneiss,0.3151,0
27.68981,93.58779,34.52,1690.8,0,Dense Forest,2,Alluvial,0.3745,0
21.86365,92.63039,14.12,231.6,0,Dense Forest,2,Alluvial,0.2127,0
24.04614,90.51161,40.95,360.4,1,Agriculture,1,Laterite,0.3253,0
27.47532,94.47359,28.71,1322.7,1,Agriculture,0,Granite/Gneiss,0.2602,0
25.6431,95.75001,33.05,1396.7,1,Agriculture,1,Laterite,0.3489,0
26.54189,92.64273,21.78,1220.5,4,Barren,1,Laterite,0.3876,0
26.96402,90.73771,30.61,1280.7,0,Dense Forest,2,Alluvial,0.3221,0
28.60989,89.38816,47.85,1701.4,0,Dense Forest,3,Colluvial,0.4789,0
29.10227,91.20229,29.03,1851.5,0,Dense Forest,2,Alluvial,0.3254,0
26.56398,89.93218,41.23,1161.2,2,Degraded Forest,4,Shale,0.6346,1
23.39904,93.44152,38.5,795.4,1,Agriculture,1,Laterite,0.309,0
24.99147,96.8232,31.01,791.4,3,Urban,1,Laterite,0.4453,0
24.02623,91.16415,34.57,867.2,4,Barren,3,Colluvial,0.6009,1
26.20675,91.5505,34.63,1523.5,0,Dense Forest,4,Shale,0.481,0
22.61353,89.07401,24.86,426.1,4,Barren,3,Colluvial,0.5026,0
25.01653,91.08255,31.82,681.7,0,Dense Forest,3,Colluvial,0.4526,0
26.79699,93.87623,30.78,1329.5,1,Agriculture,3,Colluvial,0.3846,0
24.8004,88.19911,22.58,729.8,3,Urban,3,Colluvial,0.4517,0
26.22598,91.36423,42.17,1343.0,2,Degraded Forest,3,Colluvial,0.5438,0
26.13305,97.47452,32.04,1183.9,3,Urban,4,Shale,0.6139,1
24.47571,89.35377,25.02,745.7,1,Agriculture,0,Granite/Gneiss,0.1962,0
25.65634,90.89035,29.29,833.5,4,Barren,4,Shale,0.5941,1
25.74069,89.38581,33.35,682.0,3,Urban,1,Laterite,0.4532,0
28.59444,96.30393,32.12,1533.9,1,Agriculture,4,Shale,0.4512,0
26.9352,89.45342,33.92,1453.1,4,Barren,1,Laterite,0.581,1
