City Name,State,Latitude,Longitude,Elevation (m),Annual Rainfall (mm),Earthquake Frequency,Erosion Index,Mining Activity,Landslide Probability,Flood Probability,Temperature (°C)
Srinagar,Jammu & Kashmir,10.563976,69.638536,52,1317.19,5,5.7,Yes,0.964,0.261,10.7
Aurangabad,Maharashtra,22.483056,86.925439,1708,2515.34,5,1.7,Yes,0.898,0.777,14.5
Dhanbad,Jharkhand,12.952993,84.150365,95,4015.71,3,6.7,Yes,0.462,0.724,38.9
Mumbai,Maharashtra,32.229871,73.845884,175,2430.4,3,7,Yes,0.9,0.534,29
Delhi,Delhi,13.580364,79.677749,834,1059.04,5,2.5,Yes,0.383,0.334,13.1
Bangalore,Karnataka,25.978125,96.90783,2746,1021.32,4,3,Yes,0.347,0.592,35.4
Hyderabad,Telangana,21.514782,88.5487,2360,2194.25,3,5.4,No,0.039,0.926,29.6
Ahmedabad,Gujarat,18.986384,78.086419,2080,1050.73,2,9.3,Yes,0.21,0.511,16.7
Chennai,Tamil Nadu,18.068761,87.162282,1237,3866.32,3,0.3,Yes,0.848,0.767,22.3
Kolkata,West Bengal,34.125848,69.573603,2479,4036.95,2,8.3,Yes,0.448,0.84,21.5
Pune,Maharashtra,12.817565,83.551053,4,1129.53,5,6.8,Yes,0.14,0.408,38.5
Jaipur,Rajasthan,20.808023,95.473024,1020,4015.46,2,8.1,Yes,0.163,0.506,43.3
Surat,Gujarat,19.157514,90.850244,814,1678.71,4,3.5,Yes,0.689,0.002,22
Lucknow,Uttar Pradesh,18.227643,90.828306,2533,1641.99,5,7.4,Yes,0.985,0.478,16.9
Kanpur,Uttar Pradesh,33.79529,85.230376,2369,1794.55,4,3.6,Yes,0.096,0.394,16.7
Nagpur,Maharashtra,13.010688,91.337627,1609,2229.89,3,7.5,No,0.779,0.678,24.3
Visakhapatnam,Andhra Pradesh,12.344025,76.173546,1800,2777.55,3,8.8,Yes,0.65,0.615,13.7
Bhopal,Madhya Pradesh,22.298821,83.161657,2774,3295.59,5,1.8,Yes,0.998,0.988,21.1
Patna,Bihar,24.335381,69.33367,451,3232.36,1,0.2,Yes,0.229,0.776,34.9
Vadodara,Gujarat,9.956624,68.828719,1570,1083.67,4,2.1,Yes,0.856,0.372,12.7
Ghaziabad,Uttar Pradesh,20.080184,82.903338,34,4869.15,4,0.5,Yes,0.974,0.124,21.6
Ludhiana,Punjab,10.860576,91.403074,2907,4214.4,1,0.8,Yes,0.382,0.6,28.6
Agra,Uttar Pradesh,31.302191,83.657999,1334,4050.72,1,3,Yes,0.675,0.663,44.3
Nashik,Maharashtra,11.106922,89.170684,1337,4283.08,1,6.9,Yes,0.271,0.66,11.1
Faridabad,Haryana,24.068514,74.210088,2635,4367.47,4,9.1,Yes,0.503,0.182,30.6
Meerut,Uttar Pradesh,29.990786,86.542117,1280,1702.51,2,3.4,No,0.243,0.67,19.7
Rajkot,Gujarat,23.066131,84.8132,1744,3710.14,5,1,Yes,0.534,0.742,35.3
Kalyan,Maharashtra,19.231521,74.376706,276,1643.07,4,5,No,0.407,0.978,18.9
Vasai-Virar,Maharashtra,31.750619,73.884155,1170,2882.45,2,1.5,Yes,0.087,0.226,17.4
Varanasi,Uttar Pradesh,23.423923,82.084304,896,4820.58,5,2.9,No,0.85,0.526,34
Srinagar,Jammu & Kashmir,15.596,86.660928,763,1657.96,1,6.2,Yes,0.848,0.997,18.9
Aurangabad,Maharashtra,11.678146,90.053841,2908,3796.84,2,6.4,No,0.144,0.82,29.3
Dhanbad,Jharkhand,21.049355,68.699279,2472,843.77,5,6.2,No,0.754,0.728,42.1
Mumbai,Maharashtra,18.837913,95.055263,579,4900.39,2,6.4,Yes,0.765,0.504,31.5
Delhi,Delhi,35.853288,92.950707,2939,2608.19,2,6.9,No,0.768,0.123,32.5
Bangalore,Karnataka,21.055973,93.222731,2638,4365.76,2,0.1,Yes,0.375,0.905,21.7
Hyderabad,Telangana,10.477422,76.7669,551,3881.93,5,2.6,Yes,0.334,0.698,38.9
Ahmedabad,Gujarat,10.696622,79.808312,2589,4097.96,3,2.3,Yes,0.557,0.758,21.6
Chennai,Tamil Nadu,9.749007,95.327845,575,962.36,3,6.9,No,0.796,0.79,44.3
Kolkata,West Bengal,21.216126,93.178662,92,509.03,5,6.5,No,0.034,0.932,31.9
Pune,Maharashtra,10.170422,68.666766,1536,4449.4,4,1.4,Yes,0.635,0.118,29.5
Jaipur,Rajasthan,26.234035,83.076334,1773,1430.59,4,6.1,Yes,0.769,0.071,23.4
Surat,Gujarat,25.006337,93.35844,2231,1681.41,3,7.9,Yes,0.171,0.235,40.2
Lucknow,Uttar Pradesh,17.487901,69.216156,2887,3187.18,1,4.1,Yes,0.813,0.918,38.8
Kanpur,Uttar Pradesh,15.790683,72.447841,1403,1895.5,3,9.5,Yes,0.184,0.807,10.7
Nagpur,Maharashtra,18.805503,95.204914,213,4980.76,4,1,No,0.205,0.116,42.9
Visakhapatnam,Andhra Pradesh,14.565955,85.795041,1089,705,2,9.4,Yes,0.024,0.021,43.1
Bhopal,Madhya Pradesh,35.242443,79.098766,2798,2312.74,3,0.4,No,0.994,0.009,14.7
Patna,Bihar,18.766981,74.07476,309,939.95,2,9.2,No,0.122,0.012,29
Vadodara,Gujarat,10.256444,77.439941,2245,2883.97,1,9.1,No,0.902,0.117,44.8
Ghaziabad,Uttar Pradesh,23.882656,86.622947,2617,2541.94,5,6.3,Yes,0.518,0.198,25
Ludhiana,Punjab,26.662033,75.634558,708,3133.12,1,0.9,No,0.407,0.526,27
Agra,Uttar Pradesh,35.678039,71.715547,459,3861,3,1,No,0.581,0.374,42
Nashik,Maharashtra,24.078316,89.833599,1987,1700.36,4,7.1,Yes,0.043,0.519,11.7
Faridabad,Haryana,23.637029,91.221453,822,4404.99,5,9.6,Yes,0.39,0.916,23.2
Meerut,Uttar Pradesh,12.412433,71.774668,1635,1049.55,3,2.2,Yes,0.254,0.772,38.3
Rajkot,Gujarat,24.367139,91.45366,452,1007.54,5,3.3,No,0.964,0.457,13.9
Kalyan,Maharashtra,31.495153,92.206566,2462,1405.39,3,7.7,No,0.478,0.197,36.8
Vasai-Virar,Maharashtra,19.34516,70.948796,2179,4456.27,3,3.8,Yes,0.643,0.104,12.3
Varanasi,Uttar Pradesh,25.672686,71.012086,2713,1073.5,2,0.1,No,0.86,0.783,25.8
Srinagar,Jammu & Kashmir,9.515744,90.956728,2954,4548.97,4,0.7,No,0.329,0.882,22.4
Aurangabad,Maharashtra,15.758248,82.580401,510,1852.34,2,9.9,No,0.069,0.467,27.2
Dhanbad,Jharkhand,8.776759,86.240224,2663,2835.94,4,9.9,Yes,0.19,0.585,16.4
Mumbai,Maharashtra,11.008165,95.257048,2483,4375.29,3,9.2,No,0.061,0.246,26.1
Delhi,Delhi,22.601778,74.3976,478,1223.15,2,1,No,0.448,0.368,25.5
Bangalore,Karnataka,12.889486,91.489735,174,3187.06,1,8.6,Yes,0.881,0.037,13.6
Hyderabad,Telangana,16.531087,86.4185,2809,4317.8,2,2.9,Yes,0.507,0.829,12.4
Ahmedabad,Gujarat,24.107867,87.028627,570,1866.88,4,1.4,Yes,0.126,0.158,19.8
Chennai,Tamil Nadu,16.23377,95.412571,2438,2654.67,1,4.1,Yes,0.084,0.499,15.8
Kolkata,West Bengal,28.958682,82.743613,2205,2458.33,3,7.2,No,0.548,0.426,31.4
Pune,Maharashtra,24.314372,82.653263,2719,2638.56,4,6.7,Yes,0.011,0.989,18.3
Jaipur,Rajasthan,13.591491,71.931912,2315,2356.72,5,6.3,No,0.792,0.722,32.6
Surat,Gujarat,29.635824,83.869171,2943,4267.7,1,0.6,Yes,0.451,0.142,30.7
Lucknow,Uttar Pradesh,30.420332,87.62613,847,872.31,3,5.2,No,0.311,0.895,34.7
Kanpur,Uttar Pradesh,26.142833,90.554029,2552,1969.23,2,9.5,No,0.62,0.749,10.7
Nagpur,Maharashtra,10.599149,87.025012,2086,2399.24,4,7.8,Yes,0.104,0.277,17.2
Visakhapatnam,Andhra Pradesh,28.088236,72.827554,1277,3066.19,2,7.7,No,0.652,0.128,20.9
Bhopal,Madhya Pradesh,35.788725,77.259439,27,743.74,2,9,Yes,0.607,0.451,21.2
Patna,Bihar,13.006505,76.874451,786,3356.92,2,9,No,0.222,0.584,11.6
Vadodara,Gujarat,29.179921,95.65399,1196,2072.56,4,6,No,0.384,0.86,26.8
Ghaziabad,Uttar Pradesh,11.194755,96.436744,1765,4295.72,3,3,Yes,0.084,0.94,21.4
Ludhiana,Punjab,16.28613,88.544077,2564,967.44,2,3.9,No,0.839,0.784,23.1
Agra,Uttar Pradesh,12.664598,72.261143,1247,3057.43,4,7.6,Yes,0.602,0.99,35.8
Nashik,Maharashtra,36.182916,72.06209,802,2070.22,5,3.6,No,0.385,0.971,40.1
Faridabad,Haryana,18.826767,84.612437,2264,882.47,4,6,No,0.587,0.981,16.4
Meerut,Uttar Pradesh,31.21837,90.809524,289,716.81,3,2.1,No,0.289,0.999,24.4
Rajkot,Gujarat,27.523164,68.653341,177,4812.64,1,1.4,Yes,0.255,0.19,34.4
Kalyan,Maharashtra,32.527307,81.21513,2965,3251.05,5,7,Yes,0.926,0.882,28.5
Vasai-Virar,Maharashtra,25.251613,85.163388,2087,3193.27,4,5.5,Yes,0.915,0.442,25.8
Varanasi,Uttar Pradesh,28.613736,93.713295,712,2661.81,2,2.8,No,0.588,0.282,29.1
Srinagar,Jammu & Kashmir,26.84497,81.52225,1836,2833.93,1,8.9,No,0.405,0.38,15.7
Aurangabad,Maharashtra,18.085567,89.502096,385,4442.9,5,8.3,Yes,0.331,0.248,43.2
Dhanbad,Jharkhand,32.329813,84.6611,672,3487.75,1,7.7,No,0.182,0.57,31.9
Mumbai,Maharashtra,17.135532,94.794739,1013,1142.68,1,5.5,No,0.268,0.594,26.5
Delhi,Delhi,9.950268,86.607864,2489,1237.12,1,6.2,Yes,0.205,0.16,16.5
Bangalore,Karnataka,22.528435,71.082098,2876,4297.99,4,7.9,No,0.05,0.75,31.5
Hyderabad,Telangana,31.102051,92.345221,1790,1809.71,4,6.1,Yes,0.733,0.586,41.6
Ahmedabad,Gujarat,20.512837,91.350462,1664,1329.72,1,6.9,Yes,0.856,0.441,40.9
Chennai,Tamil Nadu,34.996994,85.728408,1516,1361.79,1,8.5,No,0.288,0.73,19.2
Kolkata,West Bengal,28.418712,72.089292,2687,2020.99,5,8,No,0.648,0.055,35.1
Pune,Maharashtra,11.31666,72.896826,1129,2165.37,5,1,Yes,0.553,0.826,40.9
Jaipur,Rajasthan,33.944374,78.894372,516,2144.29,5,9,No,0.108,0.768,15.8
Surat,Gujarat,9.105683,68.267482,968,2504.17,1,3.4,No,0.615,0.583,19.4
Lucknow,Uttar Pradesh,23.530201,70.500342,266,2535.82,5,0.5,No,0.01,0.054,15.1
Kanpur,Uttar Pradesh,13.631989,69.116524,2677,532.16,4,0.7,Yes,0.73,0.419,33.6
Nagpur,Maharashtra,25.370239,83.828088,1149,2770.92,2,1,No,0.936,0.39,41.2
Visakhapatnam,Andhra Pradesh,17.923245,90.753265,1618,2745.67,1,2.6,Yes,0.446,0.432,22.1
Bhopal,Madhya Pradesh,19.595873,73.927287,809,3082.94,1,7.5,No,0.585,0.104,32.5
Patna,Bihar,27.224182,73.468275,2209,927.69,5,2.1,No,0.225,0.199,36.8
Vadodara,Gujarat,35.646167,74.199485,2704,879.36,5,5.3,No,0.13,0.948,30.6
Ghaziabad,Uttar Pradesh,30.741449,72.351645,1210,2005.29,2,4.8,No,0.476,0.803,18.2
Ludhiana,Punjab,32.429457,95.208827,2348,4202.8,2,8.4,Yes,0.925,0.645,24.4
Agra,Uttar Pradesh,34.313328,94.504854,238,1577.14,5,2.2,Yes,0.862,0.405,36.6
Nashik,Maharashtra,32.221166,95.972671,115,2757.23,5,4.4,No,0.693,0.818,44
Faridabad,Haryana,10.315499,91.199786,2649,4474.24,3,6.2,No,0.907,0.181,18.7
Meerut,Uttar Pradesh,11.955394,71.985302,1224,3294.88,2,6.7,Yes,0.509,0.162,27.5
Rajkot,Gujarat,29.845969,78.482386,1747,1188.71,1,3.1,Yes,0.334,0.156,14.9
Kalyan,Maharashtra,8.76668,91.682498,1281,3294.75,5,0.7,No,0.047,0.879,10.5
Vasai-Virar,Maharashtra,36.265192,81.908775,42,1287.65,5,2,Yes,0.628,0.262,36
Varanasi,Uttar Pradesh,21.064261,82.494596,294,984.4,3,4.8,No,0.532,0.479,35.2
Srinagar,Jammu & Kashmir,12.960816,83.571418,1447,2562.72,4,3.9,No,0.616,0.241,17.4
Aurangabad,Maharashtra,35.856614,91.617148,2570,3082.11,2,5.2,No,0.269,0.635,17.6
Dhanbad,Jharkhand,12.165396,90.025285,2118,2831.42,4,4.5,Yes,0.062,0.91,23
Mumbai,Maharashtra,31.889312,79.042422,1364,4975.55,1,2.3,Yes,0.332,0.108,15.5
Delhi,Delhi,31.839425,93.185019,2408,851.2,1,6.4,Yes,0.576,0.017,39.3
Bangalore,Karnataka,28.674603,81.257034,1468,2294.65,4,1.1,Yes,0.53,0.401,41.6
Hyderabad,Telangana,29.143348,90.073586,987,1063.49,5,4.8,No,0.936,0.514,20.7
Ahmedabad,Gujarat,19.991127,75.342265,540,4799.36,4,5.9,No,0.178,0.022,29.8
Chennai,Tamil Nadu,23.928163,83.12095,851,4763.61,1,6.6,No,0.686,0.048,12
Kolkata,West Bengal,19.413559,70.405631,1198,2492.88,1,9.4,Yes,0.725,0.313,26.5
Pune,Maharashtra,24.622897,81.341578,934,3286.87,5,0.2,No,0.892,0.539,25
Jaipur,Rajasthan,14.575637,73.45525,1674,2255.59,5,2.8,Yes,0.904,0.033,23.4
Surat,Gujarat,31.006201,87.316198,1288,3763.95,2,8.4,No,0.403,0.086,39.6
Lucknow,Uttar Pradesh,34.48325,91.886412,456,3255.12,4,0.3,Yes,0.977,0.02,18.6
Kanpur,Uttar Pradesh,11.407548,92.610726,1548,3780.61,3,9.4,Yes,0.529,0.836,36.1
Nagpur,Maharashtra,32.214227,96.142877,1476,1937.69,1,0.5,Yes,0.294,0.712,11.7
Visakhapatnam,Andhra Pradesh,34.576071,87.830345,1313,4197.72,5,0.5,No,0.766,0.504,22.1
Bhopal,Madhya Pradesh,24.649411,80.630195,899,2804.34,2,3,Yes,0.369,0.155,20.3
Patna,Bihar,24.375299,93.5995,1926,709.24,1,4.2,No,0.232,0.481,37.7
Vadodara,Gujarat,29.510618,93.450321,1080,3745.84,5,4.3,Yes,0.396,0.214,38.3
Ghaziabad,Uttar Pradesh,25.89355,72.812774,2711,735.76,1,0.4,Yes,0.044,0.484,27.3
Ludhiana,Punjab,21.78988,88.04803,832,706.51,1,4.6,No,0.454,0.985,22.7
Agra,Uttar Pradesh,31.167486,95.264795,285,3348.91,4,6.5,No,0.72,0.343,32.5
Nashik,Maharashtra,15.081096,83.904404,1543,1956.4,3,4.9,No,0.739,0.038,11.4
Faridabad,Haryana,10.334912,87.520696,2561,3503.47,5,6.3,Yes,0.927,0.059,41.1
Meerut,Uttar Pradesh,19.620553,77.092632,302,1846.44,3,7.2,Yes,0.239,0.867,24.2
Rajkot,Gujarat,9.574091,93.0499,58,4420.67,3,7.2,No,0.705,0.182,12.9
Kalyan,Maharashtra,30.588815,93.422625,2627,4406.5,5,7.1,Yes,0.351,0.976,22
Vasai-Virar,Maharashtra,22.477624,89.940983,1199,3405.12,1,4,No,0.066,0.595,16.5
Varanasi,Uttar Pradesh,17.936242,84.059165,862,2788.16,1,8,Yes,0.286,0.486,17.4
Srinagar,Jammu & Kashmir,14.161663,93.93065,1366,3657.1,2,0.3,Yes,0.143,0.123,44.3
Aurangabad,Maharashtra,15.123528,69.639686,1784,537.36,4,1.2,Yes,0.215,0.731,20.4
Dhanbad,Jharkhand,27.92861,69.582812,6,3185.05,5,1.2,Yes,0.644,0.109,42.8
Mumbai,Maharashtra,28.373216,81.895996,1965,3093.08,3,7,No,0.644,0.641,25.1
Delhi,Delhi,31.973813,81.28157,1570,529.3,5,8.3,Yes,0.215,0.048,26.3
Bangalore,Karnataka,30.6256,92.327608,2961,4974.45,1,6.5,No,0.15,0.066,24.7
Hyderabad,Telangana,36.250815,88.3911,2185,2205.27,5,7.3,Yes,0.473,0.17,30.4
Ahmedabad,Gujarat,34.164911,94.504039,409,1789.82,1,0.3,No,0.335,0.559,15.4
Chennai,Tamil Nadu,29.96639,74.679738,2113,3663.43,5,0.9,Yes,0.641,0.346,25.5
Kolkata,West Bengal,9.495099,96.070464,2244,3479.58,2,0.9,No,0.648,0.219,25.6
Pune,Maharashtra,32.964982,91.560884,2174,2764.24,5,0.7,No,0.599,0.421,39.8
Jaipur,Rajasthan,35.708616,85.79334,96,661.94,1,1.2,No,0.62,0.488,34
Surat,Gujarat,10.184451,71.069008,784,2134.01,5,4.3,No,0.868,0.626,22.4
Lucknow,Uttar Pradesh,33.772584,75.562615,663,1350.96,5,0.5,Yes,0.841,0.231,31.2
Kanpur,Uttar Pradesh,14.989661,68.214213,1441,3214.21,3,2.4,No,0.89,0.804,40.9
Nagpur,Maharashtra,18.882621,72.305906,1427,980.94,4,3.4,No,0.666,0.211,25.5
Visakhapatnam,Andhra Pradesh,10.497102,87.200333,471,4924.44,1,6.2,No,0.331,0.959,28.3
Bhopal,Madhya Pradesh,36.027053,88.232128,1680,2470.63,1,9.1,Yes,0.041,0.683,36.4
Patna,Bihar,32.681206,70.658312,1373,1746.58,4,0.3,No,0.432,0.897,20.3
Vadodara,Gujarat,17.19876,90.324377,1068,4688.87,3,8.6,Yes,0.995,0.049,20.3
Ghaziabad,Uttar Pradesh,31.809284,90.837213,1153,4009.99,3,9.9,Yes,0.318,0.812,31.4
Ludhiana,Punjab,34.553959,82.328723,676,3379.76,2,0.1,Yes,0.17,0.954,42.6
Agra,Uttar Pradesh,14.200266,77.405144,1292,4024.51,4,1.2,Yes,0.475,0.789,30.2
Nashik,Maharashtra,29.066896,94.065493,1591,677.86,2,0.8,No,0.852,0.979,17.9
Faridabad,Haryana,32.585891,72.951531,393,1212.06,2,1.6,Yes,0.694,0.901,22.8
Meerut,Uttar Pradesh,24.69518,82.663196,2945,4613.11,3,5.8,No,0.617,0.864,38
Rajkot,Gujarat,27.589936,91.641107,1897,2172.21,3,3.7,No,0.469,0.085,44.6
Kalyan,Maharashtra,31.962088,96.419818,1693,3373.76,1,1.6,No,0.245,0.769,23.5
Vasai-Virar,Maharashtra,10.591386,81.439393,804,2996.52,3,1.9,No,0.007,0.813,37.3
Varanasi,Uttar Pradesh,18.804384,80.282022,1104,1322.17,5,6.7,No,0.854,0.475,13.8
Srinagar,Jammu & Kashmir,28.239852,69.416176,95,2701.93,4,3.9,No,0.694,0.209,26.7
Aurangabad,Maharashtra,15.688735,82.301812,2016,2930.03,4,5.7,No,0.19,0.272,31.6
Dhanbad,Jharkhand,8.539981,79.984277,798,2153.87,4,3.2,No,0.007,0.956,16.7
Mumbai,Maharashtra,18.22467,78.533065,635,1012.45,2,0.9,Yes,0.779,0.065,23.2
Delhi,Delhi,27.442186,95.313192,2283,1845.76,3,2.8,Yes,0.953,0.975,13.1
Bangalore,Karnataka,36.219745,77.085743,1066,3719.54,3,1.9,Yes,0.551,0.23,24.1
Hyderabad,Telangana,22.998856,86.477751,1775,4999.32,2,7.2,No,0.21,0.837,33.4
Ahmedabad,Gujarat,13.16333,73.074201,1777,3145.76,1,8.5,Yes,0.858,0.39,27.6
Chennai,Tamil Nadu,17.147023,77.695483,161,1924.59,5,7.1,Yes,0.184,0.795,16.6
Kolkata,West Bengal,11.51449,70.196301,2,3464.68,5,8,No,0.921,0.516,18.3
Pune,Maharashtra,28.300793,86.742475,1251,4089.7,4,9.8,Yes,0.422,0.69,41.9
Jaipur,Rajasthan,35.541439,76.469099,2479,2717.88,1,3.4,Yes,0.823,0.94,25
Surat,Gujarat,24.584314,77.935494,1445,3123.18,2,2.1,No,0.071,0.583,24
Lucknow,Uttar Pradesh,27.438642,93.502596,970,3419.51,5,4.2,Yes,0.069,0.352,28.1
Kanpur,Uttar Pradesh,12.389278,76.987559,790,2690.43,3,2.2,No,0.88,0.706,26.3
Nagpur,Maharashtra,14.877966,85.20826,151,4546.11,2,4.8,Yes,0.318,0.261,28.1
Visakhapatnam,Andhra Pradesh,26.893213,94.30391,582,4385.61,5,9.5,No,0.872,0.695,15.9
Bhopal,Madhya Pradesh,13.906919,91.630238,557,2223.68,5,7.1,Yes,0.205,0.85,26.1
Patna,Bihar,32.006353,94.530479,224,3219.92,3,9.4,Yes,0.188,0.073,15.4
Vadodara,Gujarat,16.912624,92.032012,2629,1474.61,5,6.3,Yes,0.515,0.375,24
Ghaziabad,Uttar Pradesh,14.299572,84.326137,1191,615.42,1,7,No,0.766,0.966,17.7
Ludhiana,Punjab,16.612851,92.460808,1767,1881.81,3,8.7,No,0.147,0.165,28.6
Agra,Uttar Pradesh,25.067196,77.530451,520,1076.06,1,6.5,Yes,0.778,0.713,30.2
Nashik,Maharashtra,31.873574,94.356894,2765,3181.2,2,6.8,Yes,0.916,0.556,42.6
Faridabad,Haryana,22.690871,91.622371,1798,3462.54,1,5.8,Yes,0.916,0.08,30.5
Meerut,Uttar Pradesh,26.485642,74.361149,761,2217.25,1,7,Yes,0.079,0.107,15.7
Rajkot,Gujarat,27.860799,86.041325,1849,4484,1,3.5,Yes,0.595,0.367,18.9
Kalyan,Maharashtra,15.884121,75.037723,1781,3546.29,3,2.5,No,0.743,0.009,18.9
Vasai-Virar,Maharashtra,9.092381,77.207502,2604,3275.89,2,8.2,No,0.746,0.258,22.2
Varanasi,Uttar Pradesh,36.104992,86.175282,2254,2172.85,5,2.6,Yes,0.815,0.633,14
